物件番号,日付,件名,地名地番,住居表示,構造,階数（地上）,階数（地下）,延床面積,敷地面積,建築主,建築主住所,設計者,施工者,着工,完成,備考
10096264,2025/03/05,京都市標識設置情報,京都府京都市中京区西ノ京北円町58-1ほか,京都府京都市中京区西ノ京北円町,,3 階,階,731.45 ㎡,371.76 ㎡,,,旭化成ホームズ株式会社兵庫メゾン支店,,,,事務所併用共同住宅(賃貸、6戸)
10096187,2025/03/03,京都市標識設置情報,京都府京都市下京区松原通西洞院東入藪下町22,京都府京都市下京区藪下町,,5 階,階,784.01 ㎡,217.14 ㎡,,,一級建築士事務所齊藤誉征アトリエ,,,,共同住宅(賃貸、18戸)
10096186,2025/03/03,京都市標識設置情報,京都府京都市東山区泉湧寺東林町20-16ほか,京都府京都市東山区泉湧寺東林町,,3 階,階,562.29 ㎡,366.3 ㎡,,,想伸建設株式会社一級建築士事務所,,,,共同住宅(賃貸、15戸)
10096185,2025/02/28,京都市標識設置情報,京都府京都市南区久世中久世町2-38,京都府京都市南区久世中久世町2,,3 階,階,903.84 ㎡,796.87 ㎡,,,大和ハウス工業株式会社京都支店,,,,共同住宅(賃貸、15戸)
10096182,2025/01/27,北区有野中町3丁目27-7ワンルーム新築工事,兵庫県神戸市北区有野中町3-27-7,兵庫県神戸市北区有野中町3,鉄骨造,3 階,階,662.69 ㎡,371.8 ㎡,,,株式会社MRSブレイン一級建築士事務所,株式会社スマイルホーム,2025/03/20,2025/09/20,共同住宅(ワンルーム24戸)
10096092,2025/02/04,(仮称)＊様マンション新築工事,大阪府大阪市東成区大今里南4-36-7,大阪府大阪市東成区大今里南4,鉄筋コンクリート造,9 階,階,2255.6 ㎡,703.3 ㎡,,,生和コーポレーション株式会社一級建築士事務所,生和コーポレーション株式会社,2025/04/15,2026/08/31,共同住宅
10096091,2025/02/04,(仮称)プレサンス福島区海老江7丁目新築工事,大阪府大阪市福島区海老江7-168,大阪府大阪市福島区海老江7,鉄筋コンクリート造,15 階,階,2143.5 ㎡,581.53 ㎡,株式会社プレサンスコーポレーション,大阪府大阪市中央区城見1-2-27,株式会社日企設計,未定,2025/06/01,2027/04/30,共同住宅
10096090,2025/02/04,(仮称)大阪市東住吉区東田辺1丁目計画,大阪府大阪市東住吉区東田辺1-23-7,大阪府大阪市東住吉区東田辺1丁目,鉄筋コンクリート造,11 階,階,2657.81 ㎡,714.79 ㎡,関電不動産開発株式会社,大阪府大阪市北区中之島3-3-23,株式会社都市建一級建築士事務所,未定,2025/08/01,2027/05/31,共同住宅
10096089,2025/02/04,セイワパレス天王寺舟橋新築工事,大阪府大阪市天王寺区舟橋町5-6,大阪府大阪市天王寺区舟橋町,鉄筋コンクリート造,13 階,階,1546.71 ㎡,217.35 ㎡,生和ホームズ株式会社,大阪府大阪市福島区福島5-8-1,生和コーポレーション株式会社一級建築士事務所,生和コーポレーション株式会社,2025/05/01,2026/10/31,共同住宅
10096088,2025/02/04,(仮称)大阪市西区京町堀2丁目計画,大阪府大阪市西区京町堀2-66-1,大阪府大阪市西区京町堀2,鉄筋コンクリート造,10 階,階,826.46 ㎡,183.59 ㎡,,,一級建築士事務所上田智晴アーキテクツ,未定,2025/03/15,2026/03/15,共同住宅(飲食店付)
10096084,2025/02/21,京都市標識設置情報,京都府京都市上京区下立売通千本東入田中町430,京都府京都市上京区田中町,,5 階,階,768.59 ㎡,258.77 ㎡,,,株式会社アトリエ凱風一級建築士事務所,,,,共同住宅(賃貸、23戸)
10096083,2025/02/20,京都市標識設置情報,京都府京都市上京区新烏丸通下切通シ上る新烏丸頭町184,京都府京都市上京区新烏丸頭町,,5 階,階,987.46 ㎡,617.52 ㎡,,,株式会社アクセス都市設計,,,,共同住宅(賃貸、36戸)
10096082,2025/02/20,京都市標識設置情報,京都府京都市伏見区京橋町302ほか,京都府京都市伏見区京橋町,,5 階,階,966.6 ㎡,347.67 ㎡,,,有限会社一級建築士事務所ターボ設計,,,,共同住宅(賃貸、29戸)
10096080,2025/02/17,京都市標識設置情報,京都府京都市東山区泉涌寺東林町37-48ほか,京都府京都市東山区泉涌寺東林町,,3 階,階,583.77 ㎡,298.19 ㎡,,,一級建築士事務所株式会社小菅工務店,,,,共同住宅(賃貸、15戸)
10096079,2025/01/25,神戸市標識設置情報,兵庫県神戸市灘区大内通6-2-19,兵庫県神戸市灘区大内通6,鉄筋コンクリート造,5 階,階,996.35 ㎡,483.49 ㎡,,,株式会社クラスト一級建築士事務所,株式会社クラスト,2025/06/15,2026/02/28,共同住宅(ファミリー17戸)
10096078,2025/01/24,＊邸新築工事,兵庫県神戸市灘区篠原中町2-4-1ほか,兵庫県神戸市灘区篠原中町2,鉄骨造,3 階,階,770.05 ㎡,415.67 ㎡,,,旭化成ホームズ株式会社兵庫メゾン一級建築士事務所,旭化成ホームズ株式会社,2025/03/25,2026/02/19,共同住宅(ファミリー12戸)
10096077,2025/01/23,(仮称)＊様マンション新築工事,兵庫県神戸市東灘区北青木2-53-3,兵庫県神戸市東灘区北青木2,鉄筋コンクリート造,6 階,階,1898.96 ㎡,1236.04 ㎡,,,生和コーポレーション株式会社一級建築士事務所,生和コーポレーション株式会社,2025/03/14,2026/02/13,共同住宅(ファミリー24戸)
10095987,2025/01/31,(仮称)＊大正区泉尾計画,大阪府大阪市大正区泉尾2-103-1ほか,大阪府大阪市大正区泉尾2,鉄筋コンクリート造,7 階,階,1132.39 ㎡,260.65 ㎡,,,大和ハウス工業株式会社西日本中高層一級建築士事務所,大和ハウス工業株式会社本店,2025/09/01,2026/09/15,共同住宅、店舗
10095910,2025/01/28,(仮称)大阪市淀川区西三国二丁目計画,大阪府大阪市淀川区西三国2-285-1,大阪府大阪市淀川区西三国2,鉄筋コンクリート造,8 階,階,1164.95 ㎡,286.53 ㎡,,,株式会社礎一級建築士事務所,未定,2025/03/31,2026/04/30,共同住宅
10095909,2025/01/28,(仮称)林寺2丁目マンション新築工事,大阪府大阪市生野区林寺2-170-12ほか,大阪府大阪市生野区林寺2丁目,鉄筋コンクリート造,9 階,階,760.98 ㎡,245.97 ㎡,,,株式会社アワービルダー一級建築士事務所,株式会社アワービルダー,2025/03/10,2026/03/15,共同住宅
10096007,2025/02/14,京都市標識設置情報,京都府京都市右京区太秦垣内町3-6ほか,京都府京都市右京区太秦垣内町,,3 階,階,664.51 ㎡,506.11 ㎡,,,株式会社LOFTY一級建築士事務所,,,,共同住宅(賃貸、27戸)
10096004,2025/02/10,京都市標識設置情報,京都府京都市伏見区新町11-355-2ほか,京都府京都市伏見区新町11,,3 階,階,554.01 ㎡,397.73 ㎡,,,大和ハウス工業株式会社京都支店,,,,共同住宅(賃貸、12戸)
10095906,2025/01/24,(仮称)天王寺区堀越町計画,大阪府大阪市天王寺区堀越町9-2ほか,大阪府大阪市天王寺区堀越町,鉄筋コンクリート造,8 階,階,1758.32 ㎡,496.18 ㎡,,,株式会社アソシエイツ,森繁建設株式会社,2025/03/15,2026/06/30,共同住宅
10095905,2025/01/22,(仮称)城東区今福南1丁目計画新築工事,大阪府大阪市城東区今福南1-36ほか,大阪府大阪市城東区今福南1,鉄筋コンクリート造,14 階,階,1666.47 ㎡,722.88 ㎡,エスリード株式会社,大阪府大阪市福島区福島6-25-19,株式会社国分建築設計事務所,未定,2025/03/31,2026/11/30,共同住宅
10095904,2025/01/22,(仮称)＊マンションⅡ,大阪府大阪市東成区中本4-13-11,大阪府大阪市東成区中本4,鉄筋コンクリート造,7 階,階,636.19 ㎡,169.71 ㎡,,,黒木義和建築事務所,未定,2025/03/25,2026/02/28,共同住宅
10095903,2025/01/21,SE本庄東3丁目PJ新築工事,大阪府大阪市北区本庄東3-10-23,大阪府大阪市北区本庄東3,鉄筋コンクリート造,12 階,階,2179.75 ㎡,562.49 ㎡,株式会社スナダプロパティ,大阪府枚方市楠葉並木2-2-21,和寂舎,スナダ建設株式会社,2025/03/01,2026/06/30,共同住宅
10095902,2025/01/21,(仮称)東成区大今里西1丁目新築工事,大阪府大阪市東成区大今里西1-95,大阪府大阪市東成区大今里西1,鉄筋コンクリート造,12 階,階,1280 ㎡,317.08 ㎡,,,株式会社日企設計,未定,2025/04/15,2026/07/15,共同住宅(ワンルーム44戸)
10095900,2025/01/20,(仮称)東成区東小橋3丁目計画,大阪府大阪市東成区東小橋3-2-8ほか,大阪府大阪市東成区東小橋3,鉄筋コンクリート造,7 階,階,1094.46 ㎡,299.31 ㎡,,,栗本建設工業株式会社一級建築士事務所,栗本建設工業株式会社大阪支店,2025/03/15,2026/03/31,共同住宅
10095897,2025/02/07,京都市標識設置情報,京都府京都市北区上賀茂坂口町2-6,京都府京都市北区上賀茂坂口町,,3 階,階,539.67 ㎡,538.24 ㎡,,,住友不動産株式会社注文住宅関西一級建築士事務所,,,,共同住宅(賃貸、8戸)
10095894,2025/02/05,(仮称)上京区堀出シ町共同住宅新築工事,京都府京都市上京区今出川通室町西入堀出シ町280,京都府京都市上京区堀出シ町,鉄筋コンクリート造,5 階,階,689.3 ㎡,252.72 ㎡,,,株式会社雜賀建築設計事務所,米匠有限会社,2025/03/27,2025/12/26,共同住宅(賃貸、15戸)
10095893,2025/02/05,京都市標識設置情報,京都府京都市中京区新シ町通錦小路下る藤岡町508ほか,京都府京都市中京区藤岡町,,4 階,階,970.34 ㎡,372.73 ㎡,,,積水ハウス株式会社京滋奈シャーメゾン支店,,,,共同住宅(賃貸、15戸)
10095892,2025/02/03,京都市標識設置情報,京都府京都市山科区大宅御供田町9,京都府京都市山科区大宅御供田町,,5 階,階,644.25 ㎡,236.12 ㎡,,,合同会社東耕之一級建築士事務所,,,,共同住宅(賃貸、18戸)
10095802,2025/01/17,(仮称)上本町西新築工事,大阪府大阪市中央区上本町西3-13-6,大阪府大阪市中央区上本町西3-3,鉄筋コンクリート造,9 階,1 階,896.18 ㎡,253.12 ㎡,,,K's設計室,進和建設工業株式会社,2025/03/15,2026/06/30,共同住宅
10095800,2025/01/16,(仮称)プレサンス都島区内代町二丁目Ⅵ新築工事,大阪府大阪市都島区内代町2-116-1,大阪府大阪市都島区内代町2,鉄筋コンクリート造,12 階,階,1637.78 ㎡,484.99 ㎡,株式会社プレサンスコーポレーション,大阪府大阪市中央区城見1-2-27,株式会社生原建築事務所,未定,2025/03/31,2026/09/30,共同住宅
10095796,2025/01/15,(仮称)大阪市城東区鴫野東2丁目新築工事,大阪府大阪市城東区鴫野東2-95-1,大阪府大阪市城東区鴫野東2丁目,鉄筋コンクリート造,10 階,階,2634.7 ㎡,1015.15 ㎡,エスリード株式会社,大阪府大阪市福島区福島6-25-19,株式会社星羅建築事務所,未定,2025/03/01,2026/07/31,共同住宅
10095795,2025/01/14,(仮称)スプランディッド梅田WEST新築工事,大阪府大阪市北区大淀南3-10-5,大阪府大阪市北区大淀南3丁目,鉄筋コンクリート造,13 階,階,1296.99 ㎡,368.84 ㎡,信和不動産株式会社,大阪府豊中市大島町2-1-29,株式会社プライム・デザイン,未定,2025/03/31,2026/08/31,共同住宅
10095793,2025/01/30,京都市標識設置情報,京都府京都市西京区山田畑田町20-2ほか,京都府京都市西京区山田畑田町,,3 階,階,1034.8 ㎡,1169.72 ㎡,,,積水ハウス株式会社京滋奈シャーメゾン支店一級建築士事務所,,,,共同住宅(賃貸、15戸)
